Province,Type,Subregion,Name,Tel,Latitude,Longitude,Capacity,open,Management,Contact Person,comment
Eastern Cape,Shelter,Alfred Nzo  Bizana  Ndabankulu,Ubuntu Neighbours Group,0796932105/0436055171,-30.988838,29.286140,2,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Mount Frere,Mtshazi Safe Home,0796932105/0436055171,-30.891821,28.985235,3,yes,NPO  ,Nozodwa Kobese,
Eastern Cape,Shelter,Amathole,Khanyisa Victim Empowerment Centre,0796932105/0436055171,-33.028765,27.855678,10,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Stutterheim,Ikhwezi Women Support Centre,0796932105/0436055171,-32.588728,27.432751,10,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,East London,Victory House,0796932105/0436055171,-33.004385,27.906491,10,yes,NPO,Nozodwa Kobese,previously Living Waters  now CMR run
Eastern Cape,Shelter,East London,Masimanyane Women's Support Centre,0796932105/0436055171,-32.999956,27.907433,15,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Butterworth,Butterworth Safe Home,0796932105/0436055171,-32.332319,28.147684,5,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Humansdorp,Joubertina Safe House,0796932105/0436055171,-34.003312,24.742145,6,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Humansdorp,On Eagles Wings Centre,0796932105/0436055171,-34.003312,24.742145,5,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Grahamstown,Makan Rape Survivor Support,0796932105/0436055171,-33.309886,26.517944,4,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Chris Hani ,Masikhawulelane Victim Empowerment,0796932105/0436055171,-31.911690,26.925195,5,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Lady Frere,Khuseleka Support Centre,0796932105/0436055171,-31.667218,27.054440,3,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Confimvaba,Bolotwa Domestic Violence,0796932105/0436055171,-32.018681,27.588843,3,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Ezibeleni,Ezibeleni One Stop Centre,0796932105/0436055171,-31.912714,26.961870,20,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Joe Gqabi  Aliwal North,Burgersdorp Safe Home,0796932105/0436055171,-30.697753,26.721248,4,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Joe Gqabi  Maletswai  Aliwal North,Maletswai One Stop Centre,0796932105/0436055171,-30.697753,26.721248,6,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Mqanduli ,Safe Home,0796932105/0436055171,-31.815069,28.759354,5,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Port Elizabeth,Kwanobuhle Outreach Centre,0796932105/0436055171,-33.959681,25.588916,22,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Mtatha,Mtatha One Stop Centre,0796932105/0436055171,-31.606646,28.778505,3,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Ngqeleni,Soul Winners Support Centre,0796932105/0436055171,-31.669129,29.034333,4,yes,NPO,Nozodwa Kobese,
Free State,Shelter,"Fezile Dabi, Tumahole  ",Tumahole ,0718574086/0514090566/0514090562,-26.917552,27.484604,10,yes,NPO ,Ms Prudence Ramolefe,
Free State,Shelter,Welkom,Goldfields Family Advice Organization,0718574086/0514090566/0514090562,-28.006368,26.775608,16,yes,NPO ,Ms Prudence Ramolefe,
Free State,Shelter,Bloemfontein,Serobe (The Nest shelter),0718574086/0514090566/0514090562,-29.089381,26.160471,16,yes,NPO ,Ms Prudence Ramolefe,
Free State,Shelter,"Phuthaditjhaba, Thabo Mofutsanyane ",Thusanang Advice Centre,0718574086/0514090566/0514090562,-28.553334,28.818565,8,yes,NPO ,Ms Prudence Ramolefe,
Free State,Shelter,"Phuthaditjhaba, Thabo Mofutsanyane ",Child and Family Welfare,0718574086/0514090566/0514090562,-28.553334,28.818565,6,yes,,Ms Prudence Ramolefe,
Free State,Shelter,Xhariep ,Bolokanang ,0718574086/0514090566/0514090562,-30.272770,26.647280,11,yes,NPO ,Ms Prudence Ramolefe,
Free State,Shelter,Xhariep ,Philani ,0718574086/0514090566/0514090562,-29.690001,26.214650,7,yes,NPO ,Ms Prudence Ramolefe,
Free State,Shelter,Xhariep ,Tshireletso ,0718574086/0514090566/0514090562,-30.148845,25.396759,12,yes,NPO ,Ms Prudence Ramolefe,
Free State,Shelter,Xhariep ,Siville ,0718574086/0514090566/0514090562,-29.485257,25.128199,6,yes,NPO ,Ms Prudence Ramolefe,
Gauteng,Shelter,Alberton,Amcare ,0798915893/0824690592/0113557862/0113557854,-26.322122,28.126861,20,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,Alexandra ,Bombani ,0798915893/0824690592/0113557862/0113557854,-26.103286,28.097572,20,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,Bekkersdal ,Are Ageng ,0798915893/0824690592/0113557862/0113557854,-26.281901,27.703628,16,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,Benoni,Bethesda ,0798915893/0824690592/0113557862/0113557854,-26.151906,28.369531,10,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,Boksburg ,Mercy Haven ,0798915893/0824690592/0113557862/0113557854,-26.231098,28.242332,16,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,Braamfontein ,Ikhaya Le Themba Life Line,0798915893/0824690592/0113557862/0113557854,-26.193590,28.036667,140,yes,State,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,Bronkhorstspruit ,Mali Martin ,0798915893/0824690592/0113557862/0113557854,-25.806615,28.717494,14,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,"Pretoria, Capital Park",Mercy House ,0798915893/0824690592/0113557862/0113557854,-25.726952,28.184458,18,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,Daveyton ,Theodorah Ndaba Shield of Love,0798915893/0824690592/0113557862/0113557854,-26.145361,28.420214,6,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,Vosloorus,People opposing Women Abuse,0798915893/0824690592/0113557862/0113557854,-26.357458,28.203634,10,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,Eldorado Park ,Eldorado Park Women Forum,0798915893/0824690592/0113557862/0113557854,-26.289355,27.895649,12,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,Johannesburg,Usindiso Ministries ,0798915893/0824690592/0113557862/0113557854,-26.204293,28.046777,30,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,Krugersdorp ,Polokego shelter ,0798915893/0824690592/0113557862/0113557854,-26.096752,27.816403,70,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,Lenasia,NISAA Institute ,0798915893/0824690592/0113557862/0113557854,-26.334628,27.866633,22,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,Pretoria ,Beth Shan Salvation Army,0798915893/0824690592/0113557862/0113557854,-25.748654,28.183231,21,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,Pretoria west ,Potters House ,0798915893/0824690592/0113557862/0113557854,-25.749906,28.158877,16,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,"Pretoria, Mamelodi",PAHA ,0798915893/0824690592/0113557862/0113557854,-25.723418,28.394254,10,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,Randfontein ,Riet Family Guidance Institute,0798915893/0824690592/0113557862/0113557854,-26.198482,27.675815,70,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,Randfontein ,SAVF ,0798915893/0824690592/0113557862/0113557854,-26.198482,27.675815,34,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,Springs ,Leratong Place of Love,0798915893/0824690592/0113557862/0113557854,-26.260473,28.461867,21,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,Toekomsrus ,WAWA ,0798915893/0824690592/0113557862/0113557854,-26.206062,27.710703,40,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
Gauteng,Shelter,Vanderbylpark ,Bella Maria ,0798915893/0824690592/0113557862/0113557854,-26.70366,27.804356,11,yes,NPO ,Ms Estelle Otto/ Ms Myrtle Morris,
KwaZulu Natal,Shelter,Ashburton ,Abrina Esther House,0866075703/0332642000,-29.667476,30.450953,35,yes,NPO ,Ms Renitha Veerasamy,
KwaZulu Natal,Shelter,Chatsworth ,VJ Kara Family Center ,0866075703/0332642000,-29.927306,30.885391,19,yes,NPO ,Ms Renitha Veerasamy,
KwaZulu Natal,Shelter,Dundee ,Dundee Crisis Centre ,0866075703/0332642000,-28.164759,30.225616,25,yes,NPO ,Ms Renitha Veerasamy,
KwaZulu Natal,Shelter,Durban ,KERR House ,0866075703/0332642000,-29.822756,31.019709,15,yes,NPO ,Ms Renitha Veerasamy,
KwaZulu Natal,Shelter,Durban ,Kenilworth Respite Centre,0866075703/0332642000,-29.858771,31.021560,10,yes,NPO ,Ms Renitha Veerasamy,
KwaZulu Natal,Shelter,Hillcrest ,Ekuzameni Crisis Centre ,0866075703/0332642000,-29.777267,30.767386,7,yes,NPO ,Ms Renitha Veerasamy,
KwaZulu Natal,Shelter,Izingolweni ,Izingolweni Crisis Centre,0866075703/0332642000,-30.772785,30.129422,25,yes,NPO ,Ms Renitha Veerasamy,
KwaZulu Natal,Shelter,Kwandengezi ,Ethembeni Crisis Centre ,0866075703/0332642000,-29.855857,30.773499,8,yes,NPO ,Ms Renitha Veerasamy,
KwaZulu Natal,Shelter,Ladysmith ,Ladysmith Crisis Centre ,0866075703/0332642000,-28.558830,29.783229,25,yes,NPO ,Ms Renitha Veerasamy,
KwaZulu Natal,Shelter,Mandeni ,House of Hope ,0866075703/0332642000,-29.156497,31.413703,15,yes,NPO ,Ms Renitha Veerasamy,
KwaZulu Natal,Shelter,Newcastle,Newcastle Crisis Centre,0866075703/0332642000,-27.714888,29.995739,12,yes,NPO ,Ms Renitha Veerasamy,
KwaZulu Natal,Shelter,"Phoenix, Durban ",SAHARA ,0866075703/0332642000,-29.702816,31.005316,12,yes,NPO ,Ms Renitha Veerasamy,
KwaZulu Natal,Shelter,Pietermaritzburg ,The Haven ,0866075703/0332642000,-29.600674,30.391465,20,yes,NPO ,Ms Renitha Veerasamy,
KwaZulu Natal,Shelter,Pinetown ,Open Door,0866075703/0332642000,-29.834018,30.838748,14,yes,NPO ,Ms Renitha Veerasamy,
Limpopo,Shelter,Phalaborwa ,South Africa Vrou Federasie,0844877435/0152936141,-23.940948,31.150684,10,yes,NPO ,Mr. Johannes Mphasha,
Limpopo,Shelter,Polokwane ,Polokwane Khuseleka One Stop Center,0844877435/0152936141,-23.896175,29.448524,35,yes,State ,Mr. Johannes Mphasha,
Mpumalanga,Shelter,"Badplaas, eManzana",Badplaas shelter,0832307569/0137663106,-25.957215,30.536005,8,yes,NPO ,Ms. Rennie Mothilal,
Mpumalanga,Shelter,Breyten,Hands Off Women and Children,0832307569/0137663106,-26.302216,29.983086,15,yes,NPO ,Ms. Rennie Mothilal,
Mpumalanga,Shelter,Bushbuckridge,Calcutta,0832307569/0137663106,-24.838983,31.040914,10,yes,NPO ,Ms. Rennie Mothilal,
Mpumalanga,Shelter,Acornhoek,Vuwiselo Victim Empowerment Programme Centre,0832307569/0137663106,-24.605079,31.091901,10,yes,NPO ,Ms. Rennie Mothilal,
Mpumalanga,Shelter,Kwa-Mhlanga,Leseding shelter,0832307569/0137663106,-25.307380,28.960357,12,yes,State,Ms. Rennie Mothilal,
Mpumalanga,Shelter,Kwaggafontein,Louisville shelter,0832307569/0137663106,-25.309872,28.960527,40,yes,State,Ms. Rennie Mothilal,
Mpumalanga,Shelter,Mammethlake,Tirisano shelter ,0832307569/0137663106,-25.109370,28.542712,6,yes,NPO ,Ms. Rennie Mothilal,
Mpumalanga,Shelter,Nelspruit,Grip shelter ,0832307569/0137663106,-25.475531,30.973627,20,yes,NPO ,Ms. Rennie Mothilal,
Mpumalanga,Shelter,Thekwane north,Grace shelter ,0832307569/0137663106,-25.432708,31.133037,8,yes,NPO ,Ms. Rennie Mothilal,
Mpumalanga,Shelter,Thulamahashe,Mhala,0832307569/0137663106,-24.724463,31.210708,17,yes,NPO ,Ms. Rennie Mothilal,
Mpumalanga,Shelter,Tonga,Masisukumeni Shelter,0832307569/0137663106,-25.669703,31.811808,,yes,NPO ,Ms. Rennie Mothilal,waiting on bed numbers
Mpumalanga,Shelter,"Witbank, Emalahleni",Foundation for Victims of Crime,0832307569/0137663106,-25.873760,29.251877,8,yes,NPO ,Ms. Rennie Mothilal,
North West,Shelter,Klerksdorp ,Kosh Crisis Centre,0828509017/0183841638,-26.857974,26.626320,6,yes,NPO ,Ms Dineo Komane,
North West,Shelter,Madibeng,Mothutlong Network on violence against women,0828509017/0183841638,-25.604717,27.887643,4,yes,NPO ,Ms Dineo Komane,
North West,Shelter,Madikwe,Madikwe Crisis Centre,0828509017/0183841638,-25.396237,26.573443,4,yes,NPO ,Ms Dineo Komane,
North West,Shelter,Mahikeng,Mahikeng Crisis Centre,0828509017/0183841638,-25.857381,25.647293,15,yes,State ,Ms Dineo Komane,
North West,Shelter,Mogwase,Botshabelo Crisis Centre,0828509017/0183841638,-25.275657,27.244309,10,yes,State ,Ms Dineo Komane,
North West,Shelter,Mooinooi,Grace Help,0828509017/0183841638,-25.753865,27.558943,37,yes,NPO ,Ms Dineo Komane,
North West,Shelter,Moretele,Thusego Safe house,0828509017/0183841638,-25.143747,27.963025,4,yes,NPO ,Ms Dineo Komane,
North West,Shelter,Naledi/Vryburg,Dr Ruth Segomotsi Mompati Interim one stop centre,0828509017/0183841638,-26.957896,24.728893,24,yes,State ,Ms Dineo Komane,
North West,Shelter,Schweitzer–Renneke,Koketso Family Crisis Center,0828509017/0183841638,-27.178270,25.302200,10,yes,NPO ,Ms Dineo Komane,
North West,Shelter,Ventersdorp,Ventersdorp Crisis Centre,0828509017/0183841638,-26.321430,26.814694,4,yes,NPO ,Ms Dineo Komane,
Northern Cape,Shelter,De Aar,Ethembeni Centre,0795275951/0538749263,-30.677020, 24.013286,13,yes,NPO,Ms. Portia Qondani,
Northern Cape,Shelter,Kimberley,Kimberley Shelter,0795275951/0538749263,-28.728643,24.745873,,yes,State ,Ms. Portia Qondani,
Northern Cape,Shelter,"Kimberley, Galashewe",Tamar,0795275951/0538749263,-28.724083,24.728646,11,yes,NPO,Ms. Portia Qondani,under renovations
Northern Cape,Shelter,Kuruman,Bankhara safe house (white door),0795275951/0538749263,-27.463681,23.435008,3,yes,State ,Ms. Portia Qondani,white door
Northern Cape,Shelter,Upington,Bopanang One Stop Centre,0795275951/0538749263,-28.393032,21.235236,5,yes,State ,Ms. Portia Qondani,
Northern Cape,Shelter,Poffadder,Princess Poffadder,0795275951/0538749263,-29.131193,19.399637,5,yes,State ,Ms. Portia Qondani,
Western Cape,Shelter,Athlone Metro South ,Care Haven Centre,082560840/0214834405,-33.980318,18.535375,50,yes,NPO ,Ms Mitchell Palmer,
Western Cape,Shelter,Athlone,Saartjie Baartman Centre for Women and Children,082560840/0214834405,-33.966550,18.554152,100,yes,NPO ,Ms Mitchell Palmer,
Western Cape,Shelter,Atlantis,United Sanctuary ,082560840/0214834405,-33.568489,18.500802,20,yes,NPO ,Ms Mitchell Palmer,
Western Cape,Shelter,Cape Town ,St Annes Homes ,082560840/0214834405,-33.929510,18.449933,26,yes,NPO ,Ms Mitchell Palmer,
Western Cape,Shelter,Claremont,Mater Domini Home ,082560840/0214834405,-33.986118,18.471339,,yes,,Ms Mitchell Palmer,
Western Cape,Shelter,Fish Hoek,The Safehouse,082560840/0214834405,-34.133812,18.418927,,yes,,Ms Mitchell Palmer,
Western Cape,Shelter,George ,Creative Effective Families shelter for Victims of Violence,082560840/0214834405,-34.175195,22.084991,33,yes,NPO ,Ms Mitchell Palmer,
Western Cape,Shelter,George ,Rosemoore Refuge for Battered Women Phambili,082560840/0214834405,-33.974926,22.480782,25,yes,NPO ,Ms Mitchell Palmer,
Western Cape,Shelter,Guguletu,Dorothy Zihlangu Transitional Home,082560840/0214834405,-33.982073,18.567002,,yes,,Ms Mitchell Palmer,
Western Cape,Shelter,"Joe Gqabi, Aliwal North",Malitswai One Stop Centre ,082560840/0214834405,-30.698049,26.718158,6,yes,,Ms Mitchell Palmer,
Western Cape,Shelter,Khayelitsha ,Nonceba Shelter ,082560840/0214834405,-34.037942,18.680611,10,yes,NPO ,Ms Mitchell Palmer,
Western Cape,Shelter,Stellenbosch,L’Abri De Dieu Safe House ,082560840/0214834405,-33.922417,18.887061,10,yes,,Ms Mitchell Palmer,
Western Cape,Shelter,Paarl ,Athlone House ,082560840/0214834405,-33.717528,18.986170,30,yes,NPO ,Ms Mitchell Palmer,
Western Cape,Shelter,Table View,St Mary's Home of Hope,082560840/0214834405,-33.827853,18.493242,,yes,NPO ,Ms Mitchell Palmer,
Western Cape,Shelter,Philipi,Sizakuenza ,082560840/0214834405,-34.034945,18.557838,,yes,,Ms Mitchell Palmer,
Western Cape,Shelter,Ravensmead,Dusk to Dawn ,082560840/0214834405,-33.922634,18.603332,,yes,,Ms Mitchell Palmer,
Western Cape,Shelter,Vredenberg,Siyabonga Shelter,082560840/0214834405,-33.878690,18.694087,,yes,,Ms Mitchell Palmer,
Western Cape,Shelter,Welcome Estate,Ilhata,082560840/0214834405,-33.959374,18.543926,,yes,,Ms Mitchell Palmer,
Western Cape,Shelter,Worcester,House of Hope,082560840/0214834405,-33.654316,19.464238,,yes,,Ms Mitchell Palmer,
Western Cape,Shelter,Wynberg ,Sisters Incorporated ,082560840/0214834405,-34.008291,18.467501,28,yes,,Ms Mitchell Palmer,
